label,variant,compression,n_files,stored_mb,up_mbps,dl_mbps,puts,gets,lists,listing_time_s,storage_chf,requests_chf,transfer_chf,total_chf,query_time_s
S,raw,,1,243.59,24.41,23.18,1,2,1,0.1192,0.004872,2.2e-05,0.021923,0.026817,0.729
S,parquet,none,1,172.29,13.17,11.85,1,2,1,0.3357,0.003446,2.2e-05,0.015506,0.018974,0.142
S,parquet,snappy,1,92.52,10.58,22.52,1,2,1,0.1071,0.00185,2.2e-05,0.008327,0.010199,0.116
S,parquet,zstd,1,65.17,7.75,20.34,1,2,1,0.1995,0.001303,2.2e-05,0.005865,0.00719,0.128
S,parquet_small,,50,113.18,7.62,8.66,50,100,1,0.1734,0.002264,0.00061,0.009778,0.012652,0.105
S,parquet_partitioned,,60,227.2,10.69,10.11,60,120,60,0.2129,0.004544,0.00132,0.020448,0.026312,1.184
M,raw,,1,1217.91,27.96,27.61,1,2,1,0.1355,0.024358,2.2e-05,0.109612,0.133992,3.63
M,parquet,none,1,861.44,19.29,30.79,1,2,1,0.1054,0.017229,2.2e-05,0.07753,0.09478,0.55
M,parquet,snappy,1,462.6,14.17,31.87,1,2,1,0.0951,0.009252,2.2e-05,0.041634,0.050908,0.501
M,parquet,zstd,1,325.81,11.09,29.57,1,2,1,0.1082,0.006516,2.2e-05,0.029323,0.035861,0.497
M,parquet_small,,250,565.86,8.82,8.86,250,500,1,0.1867,0.011317,0.00301,0.050927,0.065255,0.452
M,parquet_partitioned,,120,2270.63,13.91,22.22,60,120,60,0.1729,0.045413,0.00132,0.204357,0.251089,9.288
L,raw,,1,4871.65,27.74,30.8,1,2,1,0.0949,0.097433,2.2e-05,0.438448,0.535903,14.91
L,parquet,none,1,3445.75,20.09,35.08,1,2,1,0.2111,0.068915,2.2e-05,0.310117,0.379054,3.279
L,parquet,snappy,1,1850.39,12.09,36.94,1,2,1,0.1168,0.037008,2.2e-05,0.166535,0.203565,2.048
L,parquet,zstd,1,1303.21,11.56,37.31,1,2,1,0.1143,0.026064,2.2e-05,0.117289,0.143375,2.214
L,parquet_small,,1000,2263.5,9.32,10.59,1000,2000,1,0.3012,0.04527,0.01201,0.203715,0.260996,1.927
L,parquet_partitioned,,120,9081.47,14.34,31.11,60,120,60,0.1271,0.181629,0.00132,0.817332,1.000281,41.378
